"","Year","Industry","Occupation","Female","Male","Black","White","Asian","Other","Total"
"970","2020","Mining, quarrying, and oil and gas extraction","Farming, fishing, and forestry",0,0,0,0,0,0,0
"971","2020","Mining, quarrying, and oil and gas extraction","Installation, maintenance, and repair",1,38,2,37,0,0,39
"972","2020","Mining, quarrying, and oil and gas extraction","Management, business, and financial operations",43,104,4,129,10,3,146
"973","2020","Mining, quarrying, and oil and gas extraction","Office and administrative support",28,11,0,33,3,2,38
"974","2020","Mining, quarrying, and oil and gas extraction","Production",1,56,3,51,0,3,57
"975","2020","Mining, quarrying, and oil and gas extraction","Professional and related",14,90,2,85,13,4,104
"976","2020","Mining, quarrying, and oil and gas extraction","Protective service",0,1,0,1,0,0,1
"977","2020","Mining, quarrying, and oil and gas extraction","Sales and related",1,9,0,9,0,2,11
"978","2020","Mining, quarrying, and oil and gas extraction","Service, except protective",2,4,0,6,0,0,6
"979","2020","Mining, quarrying, and oil and gas extraction","Transportation and material moving",2,72,8,58,1,7,74
"980","2020","Other services, except private households","Construction and extraction",2,22,3,20,0,1,24
"981","2020","Other services, except private households","Farming, fishing, and forestry",3,0,0,3,0,0,3
"982","2020","Other services, except private households","Installation, maintenance, and repair",23,963,74,839,35,38,986
"983","2020","Other services, except private households","Management, business, and financial operations",437,318,77,630,24,24,755
"984","2020","Other services, except private households","Office and administrative support",441,91,42,450,24,15,531
"985","2020","Other services, except private households","Production",110,261,31,280,45,14,370
"986","2020","Other services, except private households","Professional and related",438,549,108,790,54,35,987
"987","2020","Other services, except private households","Protective service",3,16,2,15,1,1,19
"988","2020","Other services, except private households","Sales and related",88,260,34,289,16,9,348
"989","2020","Other services, except private households","Service, except protective",1371,424,212,1249,273,61,1795
"990","2020","Other services, except private households","Transportation and material moving",48,221,47,208,6,9,270
"991","2020","Other services, private households only","Construction and extraction",0,0,0,0,0,0,0
"992","2020","Other services, private households only","Farming, fishing, and forestry",0,0,0,0,0,0,0
"993","2020","Other services, private households only","Installation, maintenance, and repair",0,0,0,0,0,0,0
"994","2020","Other services, private households only","Management, business, and financial operations",5,3,0,5,3,1,9
"995","2020","Other services, private households only","Office and administrative support",8,0,0,8,0,0,8
"996","2020","Other services, private households only","Production",4,5,3,3,3,1,10
"997","2020","Other services, private households only","Professional and related",3,4,0,6,0,1,7
"998","2020","Other services, private households only","Protective service",0,0,0,0,0,0,0
"999","2020","Other services, private households only","Sales and related",0,0,0,0,0,0,0
"1000","2020","Other services, private households only","Service, except protective",559,52,59,492,31,29,611
"1001","2020","Other services, private households only","Transportation and material moving",2,8,0,9,1,0,10
"1002","2020","Professional and business services","Construction and extraction",10,142,13,125,5,10,153
"1003","2020","Professional and business services","Farming, fishing, and forestry",2,10,0,12,0,0,12
"1004","2020","Professional and business services","Installation, maintenance, and repair",13,274,31,220,18,17,286
"1005","2020","Professional and business services","Management, business, and financial operations",2276,2788,366,4090,493,115,5064
"1006","2020","Professional and business services","Office and administrative support",1497,509,296,1536,103,71,2006
"1007","2020","Professional and business services","Production",88,181,30,209,17,13,269
"1008","2020","Professional and business services","Professional and related",2377,4224,482,4948,1025,146,6601
"1009","2020","Professional and business services","Protective service",146,394,183,314,25,18,540
"1010","2020","Professional and business services","Sales and related",255,329,38,502,31,12,583
"1011","2020","Professional and business services","Service, except protective",1029,1728,320,2250,60,127,2757
"1012","2020","Professional and business services","Transportation and material moving",94,451,109,399,12,25,545
"1013","2020","Public administration","Construction and extraction",5,87,10,76,2,4,92
"1014","2020","Public administration","Farming, fishing, and forestry",5,8,0,13,0,0,13
"1015","2020","Public administration","Installation, maintenance, and repair",3,140,15,113,3,12,143
"1016","2020","Public administration","Management, business, and financial operations",770,681,243,1060,76,72,1451
"1017","2020","Public administration","Office and administrative support",951,297,249,903,43,53,1248
"1018","2020","Public administration","Production",10,67,11,62,3,1,77
"1019","2020","Public administration","Professional and related",1066,968,354,1437,147,97,2035
"1020","2020","Public administration","Protective service",391,1506,315,1482,37,63,1897
"1021","2020","Public administration","Sales and related",26,13,9,23,1,6,39
"1022","2020","Public administration","Service, except protective",229,166,72,267,29,27,395
"1023","2020","Public administration","Transportation and material moving",24,87,36,67,4,4,111
"1024","2020","Retail trade","Construction and extraction",5,100,10,87,1,7,105
"1025","2020","Retail trade","Farming, fishing, and forestry",7,10,2,16,0,-1,17
"1026","2020","Retail trade","Installation, maintenance, and repair",13,500,29,446,16,22,513
"1027","2020","Retail trade","Management, business, and financial operations",488,600,89,893,72,34,1088
"1028","2020","Retail trade","Office and administrative support",1005,521,196,1197,61,72,1526
"1029","2020","Retail trade","Production",168,287,43,371,19,23,456
"1030","2020","Retail trade","Professional and related",588,453,104,763,141,33,1041
"1031","2020","Retail trade","Protective service",16,42,7,49,0,2,58
"1032","2020","Retail trade","Sales and related",3968,3636,896,5945,428,334,7603
"1033","2020","Retail trade","Service, except protective",336,237,73,439,36,25,573
"1034","2020","Retail trade","Transportation and material moving",738,1891,486,1900,122,120,2628
"1035","2020","Transportation and utilities","Construction and extraction",5,205,21,180,3,6,210
"1036","2020","Transportation and utilities","Farming, fishing, and forestry",1,2,1,2,0,0,3
"1037","2020","Transportation and utilities","Installation, maintenance, and repair",13,502,52,424,19,20,515
"1038","2020","Transportation and utilities","Management, business, and financial operations",304,708,117,816,53,26,1012
"1039","2020","Transportation and utilities","Office and administrative support",819,1023,399,1265,114,65,1843
"1040","2020","Transportation and utilities","Production",51,301,47,282,10,13,352
"1041","2020","Transportation and utilities","Professional and related",99,303,40,314,40,8,402
"1042","2020","Transportation and utilities","Protective service",13,34,9,31,4,3,47
"1043","2020","Transportation and utilities","Sales and related",69,81,27,111,10,2,150
"1044","2020","Transportation and utilities","Service, except protective",38,62,25,63,10,2,100
"1045","2020","Transportation and utilities","Transportation and material moving",646,3271,862,2707,199,149,3917
"1046","2020","Wholesale trade","Construction and extraction",0,24,2,22,0,0,24
"1047","2020","Wholesale trade","Farming, fishing, and forestry",11,16,1,23,3,1,28
"1048","2020","Wholesale trade","Installation, maintenance, and repair",4,140,8,128,3,5,144
"1049","2020","Wholesale trade","Management, business, and financial operations",179,340,28,448,33,10,519
"1050","2020","Wholesale trade","Office and administrative support",286,159,34,377,20,14,445
"1051","2020","Wholesale trade","Production",44,86,19,97,7,7,130
"1052","2020","Wholesale trade","Professional and related",67,106,17,123,25,7,172
"1053","2020","Wholesale trade","Protective service",3,7,2,7,0,1,10
"1054","2020","Wholesale trade","Sales and related",310,855,51,1020,68,26,1165
"1055","2020","Wholesale trade","Service, except protective",10,28,7,28,1,3,39
"1056","2020","Wholesale trade","Transportation and material moving",107,597,129,532,21,22,704
