"","Year","Industry","Occupation","Female","Male","Black","White","Asian","Other","Total"
"818","2019","Other services, private households only","Management, business, and financial operations",5,1,0,5,0,1,6
"819","2019","Other services, private households only","Office and administrative support",4,1,0,3,1,0,4
"820","2019","Other services, private households only","Production",2,0,0,2,0,0,2
"821","2019","Other services, private households only","Professional and related",5,1,2,2,1,0,5
"822","2019","Other services, private households only","Protective service",0,0,0,0,0,0,0
"823","2019","Other services, private households only","Sales and related",0,1,0,0,0,1,1
"824","2019","Other services, private households only","Service, except protective",731,61,99,634,28,31,792
"825","2019","Other services, private households only","Transportation and material moving",0,6,0,6,0,1,7
"826","2019","Professional and business services","Construction and extraction",6,145,15,123,6,8,152
"827","2019","Professional and business services","Farming, fishing, and forestry",2,10,3,9,0,0,12
"828","2019","Professional and business services","Installation, maintenance, and repair",20,249,30,218,10,11,269
"829","2019","Professional and business services","Management, business, and financial operations",2279,2945,378,4169,568,109,5224
"830","2019","Professional and business services","Office and administrative support",1670,603,321,1772,109,71,2273
"831","2019","Professional and business services","Production",77,225,39,228,18,17,302
"832","2019","Professional and business services","Professional and related",2443,4196,475,4941,1060,163,6639
"833","2019","Professional and business services","Protective service",134,472,200,369,18,19,606
"834","2019","Professional and business services","Sales and related",301,380,61,573,29,18,681
"835","2019","Professional and business services","Service, except protective",1079,1788,318,2348,51,150,2867
"836","2019","Professional and business services","Transportation and material moving",94,488,117,431,17,17,582
"837","2019","Public administration","Construction and extraction",5,103,14,83,4,8,109
"838","2019","Public administration","Farming, fishing, and forestry",6,9,2,11,1,2,16
"839","2019","Public administration","Installation, maintenance, and repair",6,149,18,132,2,4,156
"840","2019","Public administration","Management, business, and financial operations",752,645,224,1043,79,51,1397
"841","2019","Public administration","Office and administrative support",927,267,224,876,47,47,1194
"842","2019","Public administration","Production",19,54,14,54,2,3,73
"843","2019","Public administration","Professional and related",944,905,337,1313,134,65,1849
"844","2019","Public administration","Protective service",373,1529,325,1484,31,62,1902
"845","2019","Public administration","Sales and related",19,18,8,23,1,5,37
"846","2019","Public administration","Service, except protective",225,150,63,251,32,29,375
"847","2019","Public administration","Transportation and material moving",26,92,34,67,6,11,118
"848","2019","Retail trade","Construction and extraction",5,69,4,65,2,3,74
