"Base_Term","Skill_Term","City","radius","indeed_url","new_jobs_count"
"Data Scientist","GIS","New York,NY,","25","http://www.indeed.com/jobs?q=GIS+Data Scientist&l=New York,NY,&radius=25",0
"Data Analytics","GIS","New York,NY,","25","http://www.indeed.com/jobs?q=GIS+Data Analytics&l=New York,NY,&radius=25",0
"Data Scientist","Hadoop","New York,NY,","25","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=New York,NY,&radius=25",0
"Data Analytics","Hadoop","New York,NY,","25","http://www.indeed.com/jobs?q=Hadoop+Data Analytics&l=New York,NY,&radius=25",0
"Data Scientist","science","New York,NY,","25","http://www.indeed.com/jobs?q=science+Data Scientist&l=New York,NY,&radius=25",0
"Data Analytics","science","New York,NY,","25","http://www.indeed.com/jobs?q=science+Data Analytics&l=New York,NY,&radius=25",0
"Data Scientist","Python","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Python+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","Python","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Python+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","coding","San Francisco,CA,","25","http://www.indeed.com/jobs?q=coding+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","coding","San Francisco,CA,","25","http://www.indeed.com/jobs?q=coding+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","R","San Francisco,CA,","25","http://www.indeed.com/jobs?q=R+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","R","San Francisco,CA,","25","http://www.indeed.com/jobs?q=R+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","analysis","San Francisco,CA,","25","http://www.indeed.com/jobs?q=analysis+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","analysis","San Francisco,CA,","25","http://www.indeed.com/jobs?q=analysis+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","data","San Francisco,CA,","25","http://www.indeed.com/jobs?q=data+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","data","San Francisco,CA,","25","http://www.indeed.com/jobs?q=data+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","Science","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Science+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","Science","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Science+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","Skills","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Skills+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","Skills","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Skills+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","Big Data","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Big Data+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","Big Data","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Big Data+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","Data Analytics","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Data Analytics+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","Data Analytics","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Data Analytics+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","GIS","San Francisco,CA,","25","http://www.indeed.com/jobs?q=GIS+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","GIS","San Francisco,CA,","25","http://www.indeed.com/jobs?q=GIS+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","Hadoop","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Hadoop+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","Hadoop","San Francisco,CA,","25","http://www.indeed.com/jobs?q=Hadoop+Data Analytics&l=San Francisco,CA,&radius=25",0
"Data Scientist","science","San Francisco,CA,","25","http://www.indeed.com/jobs?q=science+Data Scientist&l=San Francisco,CA,&radius=25",0
"Data Analytics","science","San Francisco,CA,","25","http://www.indeed.com/jobs?q=science+Data Analytics&l=San Francisco,CA,&radius=25",0
